epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0779413101149768,0.41379310344827586,1.0494261240137035,0.4482758620689655
2,1.0247152939476418,0.46761984861227923,1.030848016821105,0.4689655172413793
3,1.0020747572760105,0.47771236333052985,1.019969914699423,0.4482758620689655
4,0.9711788640591755,0.5248107653490328,1.0234427164340842,0.45517241379310347
5,0.963250493281423,0.5214465937762826,1.0165146749595115,0.4482758620689655
6,0.9403173679860326,0.5492010092514719,1.00894923333464,0.45517241379310347
7,0.9482019613328554,0.5349032800672834,1.0071826379874658,0.4482758620689655
8,0.9330690699128968,0.567703952901598,1.0105837308127306,0.4482758620689655
9,0.9117237063292398,0.5609756097560976,1.019102891149192,0.4206896551724138
10,0.9041259179504305,0.5702270815811606,1.0185745695541646,0.41379310344827586
