image_path,food_label,portion_label,split,use_for_portion,labeling_batch
data/food101_subset/burger/burger_0667.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0130.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0785.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0153.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0921.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0946.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0049.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0016.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0773.jpg,burger,large,val,yes,initial_500
data/food101_subset/burger/burger_0121.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0171.jpg,burger,small,val,yes,initial_500
data/food101_subset/burger/burger_0653.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0027.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0806.jpg,burger,medium,test,yes,initial_500
data/food101_subset/burger/burger_0274.jpg,burger,medium,test,yes,initial_500
data/food101_subset/burger/burger_0997.jpg,burger,small,val,yes,initial_500
data/food101_subset/burger/burger_0588.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0188.jpg,burger,large,val,yes,initial_500
data/food101_subset/burger/burger_0692.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0213.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0127.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0487.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0706.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0204.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0032.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0352.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0459.jpg,burger,small,test,yes,initial_500
data/food101_subset/burger/burger_0270.jpg,burger,medium,test,yes,initial_500
data/food101_subset/burger/burger_0832.jpg,burger,medium,test,yes,initial_500
data/food101_subset/burger/burger_0553.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0073.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0158.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0883.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0170.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0614.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0652.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0809.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0863.jpg,burger,large,test,yes,initial_500
data/food101_subset/burger/burger_0821.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0712.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0765.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0582.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0414.jpg,burger,small,test,yes,initial_500
data/food101_subset/burger/burger_0156.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0604.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0428.jpg,burger,small,test,yes,initial_500
data/food101_subset/burger/burger_0128.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0616.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0930.jpg,burger,large,val,yes,initial_500
data/food101_subset/burger/burger_0150.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0157.jpg,burger,medium,val,yes,initial_500
data/food101_subset/burger/burger_0466.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0400.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0528.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0347.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0518.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0812.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0735.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0241.jpg,burger,large,val,yes,initial_500
data/food101_subset/burger/burger_0936.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0024.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0237.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0825.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0658.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0624.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0994.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0499.jpg,burger,large,val,yes,initial_500
data/food101_subset/burger/burger_0108.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0488.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0960.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0101.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0246.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0771.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0502.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0951.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0865.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0060.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0577.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0208.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0663.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0010.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0867.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0729.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0592.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0436.jpg,burger,large,test,yes,initial_500
data/food101_subset/burger/burger_0326.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0387.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0486.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0793.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0874.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0862.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0908.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0815.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0183.jpg,burger,small,train,yes,initial_500
data/food101_subset/burger/burger_0608.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0754.jpg,burger,medium,train,yes,initial_500
data/food101_subset/burger/burger_0210.jpg,burger,large,train,yes,initial_500
data/food101_subset/burger/burger_0889.jpg,burger,medium,val,yes,initial_500
data/food101_subset/pasta/pasta_0667.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0130.jpg,pasta,medium,train,yes,initial_500
data/food101_subset/pasta/pasta_0785.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0153.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0921.jpg,pasta,large,train,yes,initial_500
data/food101_subset/pasta/pasta_0946.jpg,pasta,medium,train,yes,initial_500
data/food101_subset/pasta/pasta_0049.jpg,pasta,large,train,yes,initial_500
data/food101_subset/pasta/pasta_0016.jpg,pasta,medium,train,yes,initial_500
data/food101_subset/pasta/pasta_0773.jpg,pasta,small,val,yes,initial_500
data/food101_subset/pasta/pasta_0121.jpg,pasta,large,train,yes,initial_500
data/food101_subset/pasta/pasta_0171.jpg,pasta,large,val,yes,initial_500
data/food101_subset/pasta/pasta_0653.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0027.jpg,pasta,medium,train,yes,initial_500
data/food101_subset/pasta/pasta_0806.jpg,pasta,small,test,yes,initial_500
data/food101_subset/pasta/pasta_0274.jpg,pasta,large,test,yes,initial_500
data/food101_subset/pasta/pasta_0997.jpg,pasta,small,val,yes,initial_500
data/food101_subset/pasta/pasta_0588.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0188.jpg,pasta,medium,val,yes,initial_500
data/food101_subset/pasta/pasta_0692.jpg,pasta,large,train,yes,initial_500
data/food101_subset/pasta/pasta_0213.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0127.jpg,pasta,medium,train,yes,initial_500
data/food101_subset/pasta/pasta_0487.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0706.jpg,pasta,large,train,yes,initial_500
data/food101_subset/pasta/pasta_0204.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0066.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0032.jpg,pasta,medium,train,yes,initial_500
data/food101_subset/pasta/pasta_0352.jpg,pasta,small,train,yes,initial_500
data/food101_subset/pasta/pasta_0459.jpg,pasta,medium,test,yes,initial_500
